Time	Open	High	Low	Close	Volume
2014-03-12 20:00:00	102.703	102.767	102.675	102.747	1237
2014-03-12 21:00:00	102.744	102.775	102.717	102.765	587
2014-03-12 22:00:00	102.765	102.765	102.707	102.728	725
2014-03-12 23:00:00	102.73	102.839	102.686	102.822	1639
2014-03-13 00:00:00	102.821	102.863	102.744	102.791	4463
2014-03-13 01:00:00	102.791	102.791	102.635	102.704	3437
2014-03-13 02:00:00	102.703	102.804	102.676	102.752	2866
2014-03-13 03:00:00	102.753	102.804	102.726	102.727	1900
2014-03-13 04:00:00	102.729	102.818	102.727	102.781	2912
2014-03-13 05:00:00	102.782	102.799	102.619	102.671	3195
2014-03-13 06:00:00	102.67	102.68	102.549	102.559	3592
2014-03-13 07:00:00	102.56	102.631	102.494	102.597	4398
2014-03-13 08:00:00	102.597	102.602	102.417	102.492	5185
2014-03-13 09:00:00	102.492	102.56	102.453	102.521	3986
2014-03-13 10:00:00	102.523	102.615	102.506	102.613	3383
2014-03-13 11:00:00	102.612	102.64	102.583	102.61	3136
2014-03-13 12:00:00	102.609	102.741	102.579	102.667	6431
2014-03-13 13:00:00	102.668	102.8	102.635	102.646	7142
2014-03-13 14:00:00	102.646	102.646	102.29	102.333	10720
2014-03-13 15:00:00	102.334	102.376	102.119	102.124	8585
2014-03-13 16:00:00	102.126	102.138	101.644	101.72	13340
2014-03-13 17:00:00	101.72	101.859	101.578	101.826	10635
2014-03-13 18:00:00	101.827	101.853	101.553	101.653	6368
2014-03-13 19:00:00	101.656	101.695	101.541	101.599	5314
2014-03-13 20:00:00	101.6	101.859	101.6	101.835	1585
2014-03-13 21:00:00	101.835	101.874	101.774	101.874	818
2014-03-13 22:00:00	101.874	101.88	101.776	101.864	2923
2014-03-13 23:00:00	101.864	101.864	101.698	101.779	4062
2014-03-14 00:00:00	101.777	101.842	101.709	101.769	5404
2014-03-14 01:00:00	101.771	101.832	101.753	101.823	3005
2014-03-14 02:00:00	101.825	101.854	101.726	101.743	2679
2014-03-14 03:00:00	101.742	101.764	101.605	101.684	4295
2014-03-14 04:00:00	101.684	101.718	101.646	101.682	2171
2014-03-14 05:00:00	101.683	101.698	101.616	101.67	3021
2014-03-14 06:00:00	101.67	101.67	101.502	101.578	3452
